,original,prediction
31256,11011.0,15026.5
31257,3424.0,4249.0
31258,1920.0,1871.0
31259,1669.0,1665.0
31260,4105.0,5646.5
31261,5680.0,6332.0
31262,1852.0,1168.0
31263,17381.0,24997.0
31264,2331.0,2675.0
31265,3412.0,1244.0
31266,2767.0,3056.3333333333335
31267,8607.0,8859.666666666666
31268,2401.0,1357.0
31269,2096.0,2479.5
31270,3221.0,3852.0
31271,7076.0,5606.666666666667
31272,2151.0,1414.0
31273,3276.0,3660.0
31274,1155.0,2615.0
31275,1963.0,1182.6666666666667
31276,10142.0,9497.666666666666
31277,1266.0,2170.0
31278,6939.0,8217.0
31279,4302.0,3634.6666666666665
31280,1950.0,8040.0
31281,17892.0,9254.666666666666
31282,1414.0,1032.0
31283,58522.0,78582.66666666667
31284,1123.0,1032.0
31285,1169.0,1964.5
31286,73290.0,71992.0
31287,11006.0,6536.0
31288,2856.0,1779.0
31289,5372.0,5852.333333333333
31290,2329.0,1764.3333333333333
31291,9137.0,11044.666666666666
31292,10249.0,4717.0
31293,1104.0,2795.0
31294,2633.0,2106.3333333333335
31295,6958.0,5810.333333333333
31296,6378.0,3165.0
31297,15257.0,15054.0
31298,1208.0,1086.0
31299,5592.0,4115.0
31300,6524.0,7177.5
31301,4866.0,5240.333333333333
31302,1060.0,1141.5
31303,1483.0,1402.0
31304,81991.0,63991.0
31305,3154.0,4884.0
31306,2936.0,1747.0
31307,1114.0,1334.0
31308,1201.0,1327.0
31309,2281.0,1481.0
31310,8441.0,5048.0
31311,64781.0,51802.5
31312,8623.0,8912.333333333334
31313,3274.0,2831.0
31314,1020.0,1148.0
31315,1893.0,2169.0
31316,1557.0,1204.5
31317,1017.0,1703.0
31318,2127.0,1236.0
31319,1090.0,1051.0
31320,7680.0,8490.0
31321,1641.0,1102.0
31322,1942.0,1064.0
31323,2326.0,1129.5
31324,2811.0,1703.0
31325,5926.0,4672.333333333333
31326,5084.0,3615.0
31327,66988.0,38701.666666666664
31328,1377.0,1706.0
31329,8655.0,7311.0
31330,2485.0,3818.0
31331,2297.0,1542.0
31332,1837.0,1368.6666666666667
31333,2459.0,2205.5
31334,1897.0,1258.0
31335,1723.0,1486.0
31336,8651.0,6046.0
31337,21644.0,9109.0
31338,50186.0,36995.5
31339,3598.0,1595.5
31340,1290.0,1603.0
31341,5373.0,4259.5
31342,2960.0,2856.0
31343,13808.0,8430.0
